Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
EA Sports MMA;Luta;EA Sports;PlayStation 3;09/01/19;14;2010
Killer Instinct: Definitive Edition;Luta;RARE;PC;07/03/20;3,5;2013
Ryse: Son of Rome;Aventura;Microsoft Studios;PC;22/03/20;7;2013
Homefront;Tiro em Primeira Pessoa;KAOS Studio;PC;03/05/20;4,33;2011
Life Is Strange;Aventura;DONTNOD/Square Enix;PC;18/05/20;12;2015
Minecraft Dungeons;Dungeon Crawler;MOJANG Studios;PC;31/05/20;5,5;2020
Marvel Vs. Capcom: Infinite;Luta;Capcom;PC;11/06/20;5;2017
The Awesome Adventures of Captain Spirit;Point and Click;DONTNOD/Square Enix;PC;12/06/20;2;2018
Dead Rising 4;Survival Horror;Capcom;PC;12/06/20;14;2016
Sunset Overdrive;Aventura;Insomniac Games;PC;12/07/20;12;2014
Assassin's Creed: Unity;Ação;Ubisoft;PC;17/07/20;17;2014
Assassin's Creed: Syndicate;Ação;Ubisoft;PC;18/07/20;23;2015
Assassin's Creed: Origins;Ação;Ubisoft;PC;03/08/20;32;2017
Lara Croft GO;Puzzle;Square Enix;PC;15/08/20;4,5;2015
Resident Evil 3: Remake;Survival Horror;Capcom;PC;26/09/20;5,58;2020
Mortal Kombat 11;Luta;Netherrealm Games;PC;15/10/20;6;2020
Sonic Mania;Plataforma;SEGA;PC;31/10/20;10;2017
New Super Mario Bros. U;Plataforma;Nintendo ;Nintendo Wii U;10/11/20;9;2012
Hyrule Warriors;Hack and Slash;Koei Tecmo;Nintendo Wii U;20/11/20;13;2014
Hard Reset Redux;Tiro em Primeira Pessoa;Flying Wild Hog;PC;21/12/20;8,33;2011
Borderlands GOTY Enhanced;Tiro em Primeira Pessoa;2K Games;PC;29/12/20;19;2007
Streets of Rage 4;Beat 'em Up;Dotemu;PC;14/01/21;10;2020
The Legend of Zelda: Breath of the Wild;RPG de Ação;Nintendo;Nintendo Wii U;01/02/21;36,23;2017
Doom Eternal;Tiro em Primeira Pessoa;ID Software;PC;10/02/21;21;2020
Alan Wake;Survival Horror;Remedy Interactive;PC;11/02/21;18;2012
Dead Rising 3 ;Survival Horror;Capcom;PC;20/04/21;28,75;2013
Kirby Star Allies;Plataforma;Nintendo;Nintendo Switch;01/05/21;5,5;2018
A Plague Tale: Innocence;Survival Horror;ASOBO Studios;PC;05/06/21;13,67;2019
Spyro The Dragon (Reignited Trilogy);Plataforma;Activision;PC;28/06/21;8;2018
Call of Duty: World War II;Tiro em Primeira Pessoa;Activision;PC;15/07/21;7;2017
The Legend of Zelda: Link's Awakening;RPG de Ação;Nintendo;Nintendo Switch;26/10/21;22,54;2019
Dishonored;Tiro em Primeira Pessoa;Arkane Studios;PC;22/08/21;10,03;2012
Dishonored 2;Tiro em Primeira Pessoa;Arkane Studios;PC;14/09/21;15,75;2016
Super Mario Odyssey;Plataforma;Nintendo;Nintendo Switch;01/11/21;28;2017
